                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.743,                 4.3041,                 1.2578,                 0.0568,                 0.0159,                0.03626,                0.02945,                    nan,                    nan,                    nan,             0.00012232,             0.00012232,             0.00012232
                      2,                 1.7412,                 3.8768,                 1.1851,                 0.0254,                0.08871,                0.03492,                0.02472,                    nan,                    nan,                    nan,             0.00024772,             0.00024772,             0.00024772
                      3,                 1.7007,                 3.2537,                 1.1464,                0.02286,                 0.1659,                0.05556,                 0.0339,                    nan,                    nan,                    nan,             0.00037059,             0.00037059,             0.00037059
                      4,                 1.7067,                 2.9989,                 1.1657,                0.53977,                0.04548,                0.06161,                0.03289,                    nan,                    nan,                    nan,             0.00049093,             0.00049093,             0.00049093
                      5,                 1.7067,                 2.8016,                 1.1664,                0.39926,                0.05675,                0.06593,                0.03515,                    nan,                    nan,                    nan,             0.00053398,             0.00053398,             0.00053398
                      6,                  1.736,                 2.6565,                 1.1813,                0.61825,                0.06328,                0.07881,                 0.0459,                    nan,                    nan,                    nan,             0.00052848,             0.00052848,             0.00052848
                      7,                 1.6768,                 2.5822,                 1.1628,                0.35077,                0.08539,                0.08161,                0.05018,                    nan,                    nan,                    nan,             0.00052297,             0.00052297,             0.00052297
                      8,                 1.6846,                 2.3287,                 1.1648,                 0.3482,                 0.1039,                0.09596,                0.05572,                    nan,                    nan,                    nan,             0.00051747,             0.00051747,             0.00051747
                      9,                 1.6855,                 2.2088,                 1.1297,                0.30907,                 0.1286,                0.11638,                 0.0666,                    nan,                    nan,                    nan,             0.00051196,             0.00051196,             0.00051196
                     10,                 1.6363,                  2.128,                 1.1337,                0.35505,                0.11541,                0.11177,                0.06132,                    nan,                    nan,                    nan,             0.00050646,             0.00050646,             0.00050646
                     11,                 1.6089,                 2.0282,                 1.1345,                0.34048,                0.12535,                0.11839,                0.06078,                    nan,                    nan,                    nan,             0.00050096,             0.00050096,             0.00050096
                     12,                 1.5841,                 2.0379,                 1.1487,                0.36205,                0.12619,                0.11895,                0.05945,                    nan,                    nan,                    nan,             0.00049545,             0.00049545,             0.00049545
                     13,                 1.6133,                 1.9461,                 1.1454,                0.38367,                0.11093,                0.12021,                 0.0606,                    nan,                    nan,                    nan,             0.00048995,             0.00048995,             0.00048995
                     14,                 1.5775,                 1.9006,                 1.1634,                0.46705,                0.12223,                0.11791,                 0.0636,                    nan,                    nan,                    nan,             0.00048444,             0.00048444,             0.00048444
                     15,                 1.5841,                 1.8882,                 1.1331,                 0.3849,                 0.1229,                0.12813,                0.07254,                    nan,                    nan,                    nan,             0.00047894,             0.00047894,             0.00047894
                     16,                 1.5582,                 1.7966,                 1.1205,                0.49511,                0.11872,                 0.1267,                0.07293,                    nan,                    nan,                    nan,             0.00047343,             0.00047343,             0.00047343
                     17,                 1.5577,                 1.8091,                 1.1385,                0.59121,                0.12042,                0.13471,                0.07635,                    nan,                    nan,                    nan,             0.00046793,             0.00046793,             0.00046793
                     18,                 1.5329,                 1.7269,                 1.1431,                 0.5819,                0.12947,                0.13669,                0.07808,                    nan,                    nan,                    nan,             0.00046243,             0.00046243,             0.00046243
                     19,                  1.542,                 1.7534,                 1.1184,                0.52303,                0.12729,                 0.1415,                0.07917,                    nan,                    nan,                    nan,             0.00045692,             0.00045692,             0.00045692
                     20,                 1.5059,                 1.7216,                 1.1453,                0.57958,                0.13042,                 0.1466,                0.08145,                    nan,                    nan,                    nan,             0.00045142,             0.00045142,             0.00045142
                     21,                 1.5079,                 1.6769,                 1.1165,                0.45514,                0.13533,                0.14795,                0.08467,                    nan,                    nan,                    nan,             0.00044591,             0.00044591,             0.00044591
                     22,                  1.531,                 1.7128,                 1.1243,                0.49626,                0.14799,                0.14772,                0.08331,                    nan,                    nan,                    nan,             0.00044041,             0.00044041,             0.00044041
                     23,                 1.5366,                 1.6607,                 1.1333,                 0.4326,                0.14585,                0.14574,                0.08096,                    nan,                    nan,                    nan,              0.0004349,              0.0004349,              0.0004349
                     24,                 1.5062,                 1.6399,                 1.1219,                0.30003,                0.14956,                0.15399,                0.08972,                    nan,                    nan,                    nan,              0.0004294,              0.0004294,              0.0004294
                     25,                  1.454,                 1.5958,                 1.1029,                0.33624,                0.14616,                0.15194,                0.09017,                    nan,                    nan,                    nan,             0.00042389,             0.00042389,             0.00042389
                     26,                 1.4964,                 1.6212,                 1.1251,                0.37992,                0.16104,                0.16853,                0.09927,                    nan,                    nan,                    nan,             0.00041839,             0.00041839,             0.00041839
                     27,                 1.4582,                  1.552,                 1.0982,                0.58017,                0.14888,                0.16445,                 0.0988,                    nan,                    nan,                    nan,             0.00041289,             0.00041289,             0.00041289
                     28,                 1.4575,                 1.5422,                 1.0987,                 0.5462,                0.14574,                 0.1589,                0.09733,                    nan,                    nan,                    nan,             0.00040738,             0.00040738,             0.00040738
